destination country,destination city,description,time,year,year_aggregate
Turkey,Ankara,Attended NATO Ministerial Meeting.,"June 25–26, 1980",1980,1980
Malaysia,Kuala Lumpur,Met with ASEAN Foreign Ministers.,"June 27–29, 1980",1980,1980
Japan,Tokyo,Accompanied President Carter to funeral of Prime Minister Ohira. Met with Chinese Premier Hua Guofeng.,"July 9–10, 1980",1980,1980
Mexico,"Mexico, D.F.",Official visit. Reviewed work of U.S.-Mexico Consultative Mechanism.,"November 29–December 1, 1980",1980,1980
Belgium,Brussels,Attended NATO Ministerial Meeting.,"December 10–12, 1980",1980,1980
Canada,Ottawa,Accompanied President Reagan on a State visit.,"March 10–11, 1981",1981,1985
Egypt,Cairo,Reviewed the Middle East peace process with President Sadat and Foreign Minister Ali.,"April 4–5, 1981",1981,1985
Israel,Jerusalem,Reviewed the Middle East peace process with Prime Minister Begin and Foreign Minister Shamir.,"April 5–6, 1981",1981,1985
Jordan,Amman,Reviewed the Middle East peace process with King Hussein and Prime Minister Rifai.,"April 6–7, 1981",1981,1985
Saudi Arabia,Riyadh,Discussed the Middle East peace process and AWACS sales with King Fahd and Foreign Minister Prince Saud.,"April 7–8, 1981",1981,1985
Italy,Rome,Met with Foreign Minister Colombo.,"April 8, 1981",1981,1985
Spain,Madrid,"Met with King Juan Carlos, Prime Minister Calvo Sotelo, and senior Spanish officials.","April 8–9, 1981",1981,1985
United Kingdom,London,Met with Prime Minister Thatcher and Foreign Secretary Lord Carrington.,"April 9–11, 1981",1981,1985
France,Paris,Met with President Giscard d'Estaing and Foreign Minister Francois-Poncet.,"April 11, 1981",1981,1985
"Germany, Federal Republic of",Bonn,Met with Chancellor Schmidt and Foreign Minister Genscher.,"April 12, 1981",1981,1985
Italy,Rome,Attended NATO Ministerial Meeting.,"May 2–5, 1981",1981,1985
Belgium,Brussels,Stopped en route to U.S. from NATO meeting.,"May 5, 1981",1981,1985
United Kingdom,Hong Kong,Official visit. Stopped en route to China.,"June 12–14, 1981",1981,1985
China,Beijing,"Met with Chairman Hua, Premier Zhao, and senior Chinese officials.","June 14–17, 1981",1981,1985
Philippines,Manila,Attended ASEAN Foreign Ministers Meeting.,"June 17–20, 1981",1981,1985
New Zealand,Wellington,Attended ANZUS Council Meeting.,"June 21–23, 1981",1981,1985
Bahamas,Nassau,"Attended a meeting with the Canadian, Mexican, and Venezuelan Foreign Ministers on economic cooperation in the Caribbean.","July 10–11, 1981",1981,1985
Canada,"Ottawa, Montebello",Accompanied President Reagan to Economic Summit Meeting.,"July 19–21, 1981",1981,1985
Mexico,Cancun,Attended a Foreign Ministers meeting preliminary to Conference on Cooperation and Development.,"July 31–August 2, 1981",1981,1985
Spain,Marbella,Met with Saudi Arabian Crown Prince Fahd.,"September 11–12, 1981",1981,1985
Yugoslavia,Belgrade,Official visit; met with President Kraigher and senior Yugoslav officials.,"September 12–13, 1981",1981,1985
Germany,West Berlin,Addressed the Berlin Press Association.,"September 13, 1981",1981,1985
"Germany, Federal Republic of",Bonn,Met with Foreign Minister Genscher.,"September 13–14, 1981",1981,1985
Egypt,Cairo,Attended the funeral of President Sadat.,"October 9–12, 1981",1981,1985
Mexico,Cancun,Accompanied President Reagan to the International Meeting on Cooperation and Development.,"October 21–24, 1981",1981,1985
Mexico,"Mexico, D.F.",Deposited the instrument of ratification of the Treaty for the Prohibition of Nuclear Weapons in Latin America.,"November 23–24, 1981",1981,1985
St. Lucia,Castries,Attended OAS General Assembly Meeting.,"December 2–4, 1981",1981,1985
Belgium,Brussels,Attended NATO Ministerial Meeting.,"December 9–13, 1981",1981,1985
Belgium,Brussels,Attended a special NATO Ministerial meeting on the situation in Poland.,"January 10–12, 1982",1982,1985
Egypt,Cairo,Discussed the Egyptian- Israeli peace process with President Mubarak.,"January 12–14, 1982",1982,1985
Israel,Jerusalem,Discussed the Egyptian-Israeli peace process with Prime Minister Begin.,"January 14–15, 1982",1982,1985
Switzerland,Geneva,Met with Soviet Foreign Minister Gromyko.,"January 24–27, 1982",1982,1985
Israel,Jerusalem,Discussed prospects for Palestinian autonomy talks with Israeli officials.,"January 27–28, 1982",1982,1985
Egypt,Cairo,Discussed prospects for Palestinian autonomy talks with Egyptian officials.,"January 28–29, 1982",1982,1985
United Kingdom,London,Met with Prime Minister Thatcher while returning to U.S.,"January 29, 1982",1982,1985
Spain,Madrid,Attended CSCE Follow-up Meeting.,"February 7–10, 1982",1982,1985
Portugal,Lisbon,Met with Prime Minister Pinto and senior Portuguese officials.,"February 10–11, 1982",1982,1985
Morocco,Marrakesh,Met with King Hassan II and senior Moroccan officials.,"February 11–12, 1982",1982,1985
Romania,Bucharest,Met with President Ceausescu and Foreign Minister Andrei.,"February 12–13, 1982",1982,1985
United Kingdom,London,Attempted to resolve the Falkland/Malvinas Islands crisis.,"April 8–9, 1982",1982,1985
Argentina,Buenos Aires,"Attempted to resolve the Falkland/Malvinas crisis. Stopped in Dakar, Senegal, April 9 on way from London.","April 9–11, 1982",1982,1985
United Kingdom,London,Attempted to resolve the Falkland/Malvinas crisis.,"April 12–13, 1982",1982,1985
Argentina,Buenos Aires,Attempted to resolve the Falkland/Malvinas crisis.,"April 15–19, 1982",1982,1985
Venezuela,Caracas,Discussed the Falkland/ Malvinas crisis with Foreign Minister Zambrano.,"April 19, 1982",1982,1985
Turkey,Ankara,Official visit. Met with President Evren and senior Turkish officials.,"May 13–15, 1982",1982,1985
Greece,Athens,"Official visit. Met with President Karamanlis, Prime Minister Papandreou, and senior Greek officials.","May 15–16, 1982",1982,1985
Luxembourg,Luxembourg,Attended NATO Ministerial Meeting.,"May 16–18, 1982",1982,1985
France,"Paris, Versailles",Accompanied President Reagan on State visit and to Economic Summit Meeting.,"June 2–7, 1982",1982,1985
Italy,Rome,Accompanied President Reagan on a State visit.,"June 7, 1982",1982,1985
Vatican City,,Accompanied President Reagan.,"June 7, 1982",1982,1985
United Kingdom,London,Accompanied President Reagan on a State visit.,"June 7–9, 1982",1982,1985
"Germany, Federal Republic of",Bonn,Accompanied President Reagan on a State visit and to a NATO Summit Meeting.,"June 9–11, 1982",1982,1985
Canada,La Sapiniere,Attended NATO Ministerial Meeting.,"October 2–3, 1982",1982,1985
Mexico,Tijuana,Accompanied President Reagan to a meeting with President-elect De la Madrid.,"October 9, 1982",1982,1985
Canada,Ottawa,Met with Secretary for External Affairs MacEachen.,"October 24–25, 1982",1982,1985
Brazil,"Brasilia, Sao Paulo",Accompanied President Reagan on an official working visit.,"November 30–December 3, 1982",1982,1985
Colombia,Bogota,Accompanied President Reagan on an official working visit.,"December 3, 1982",1982,1985
Costa Rica,San Jose,Accompanied President Reagan on an official working visit.,"December 3–4, 1982",1982,1985
Honduras,San Pedro Sula,Accompanied President Reagan on an official working visit.,"December 4, 1982",1982,1985
"Germany, Federal Republic of",Bonn,Met with Chancellor Kohl and Foreign Minister Genscher.,"December 7–9, 1982",1982,1985
Belgium,Brussels,Attended NATO Ministerial Meeting and met with European Economic Community officials.,"December 8–11, 1982",1982,1985
Netherlands,The Hague,Met with Queen Beatrix and senior Dutch officials.,"December 11, 1982",1982,1985
Italy,Rome,Met with President Pertini and senior Italian officials.,"December 11–14, 1982",1982,1985
France,Paris,Met with President Mitterrand and senior French officials.,"December 14–15, 1982",1982,1985
Spain,Madrid,Met with Prime Minister Gonzalez and with Western delegates to the CSCE Meeting.,"December 15–16, 1982",1982,1985
United Kingdom,London,Met with Prime Minister Thatcher and Foreign Secretary Pym.,"December 16–19, 1982",1982,1985
Japan,Tokyo,Nakasone and Foreign Minister Abe.,"January 30–February 2, 1983",1983,1985
China,Beijing,"Met with Chairman Deng, Premier Zhao, and senior Chinese officials.","February 2–6, 1983",1983,1985
"Korea, Republic of",Seoul,Met with President Chun and Prime Minister Kim. Visited American and Korean military personnel.,"February 6–8, 1983",1983,1985
United Kingdom,Hong Kong,Attended a meeting of Chiefs of U.S. Diplomatic Missions in Asia and the Pacific.,"February 8–9, 1983",1983,1985
Japan,Tokyo,Stopped while returning to U.S.,"February 10, 1983",1983,1985
Mexico,"Mexico, D.F.",Attended the 3rd meeting of U.S.-Mexico Binational Commission.,"April 18–19, 1983",1983,1985
Egypt,Cairo,Attempted to negotiate the withdrawal of foreign forces from Lebanon.,"April 25–27, 1983",1983,1985
Israel,Jerusalem,Attempted to negotiate the withdrawal of foreign forces from Lebanon.,"April 27–28, 1983",1983,1985
Lebanon,Beirut,Attempted to negotiate the withdrawal of foreign forces from Lebanon.,"April 28, 1983",1983,1985
Israel,Jerusalem,Attempted to negotiate the withdrawal of foreign forces from Lebanon.,"April 28–30, 1983",1983,1985
Lebanon,Beirut,Attempted to negotiate the withdrawal of foreign forces from Lebanon.,"April 30–May 1, 1983",1983,1985
Israel,Jerusalem,Attempted to negotiate the withdrawal of foreign forces from Lebanon.,"May 1–3, 1983",1983,1985
Lebanon,Beirut,Attempted to negotiate the withdrawal of foreign forces from Lebanon.,"May 3–4, 1983",1983,1985
Israel,Jerusalem,Attempted to negotiate the withdrawal of foreign forces from Lebanon.,"May 4–6, 1983",1983,1985
Syria,Damascus,Discussed the proposed Israeli-Lebanon agreement with President Assad.,"May 6, 1983",1983,1985
Jordan,Amman,Discussed the proposed Israeli-Lebanon agreement with King Hussein.,"May 6–7, 1983",1983,1985
Saudi Arabia,Jidda,Discussed the proposed Israeli-Lebanon agreement with Foreign Minister Prince Saud.,"May 8, 1983",1983,1985
Israel,"Jerusalem, Tel Aviv",Discussed the proposed Israeli-Lebanon agreement.,"May 8, 1983",1983,1985
Lebanon,Beirut,Discussed the proposed Israeli-Lebanon agreement.,"May 8, 1983",1983,1985
France,Paris,Attended OECD meeting.,"May 8–11, 1983",1983,1985
France,Paris,Attended NATO Ministerial Meeting.,"June 9–10, 1983",1983,1985
Philippines,Manila,Met with President Marcos and senior Philippin officials.,"June 26, 1983",1983,1985
Thailand,Bangkok,Addressed the opening session of the ASEAN Post- Ministerial Meeting.,"June 26–29, 1983",1983,1985
India,"Agra, New Delhi",Attended a meeting of the U.S.-Indian Joint Commission.,"June 30–July 2, 1983",1983,1985
Pakistan,"Islamabad, Peshawar",Met with President Zia and Foreign Minister Yaqub Khan. Visited an Afghan refugee camp.,"July 2–4, 1983",1983,1985
Saudi Arabia,Jidda,Discussed means of withdrawing foreign forces from Lebanon.,"July 4–5, 1983",1983,1985
Lebanon,Beirut,Discussed means of withdrawing foreign forces from Lebanon.,"July 5, 1983",1983,1985
Syria,Damascus,Discussed means of withdrawing foreign forces from Lebanon.,"July 5–6, 1983",1983,1985
Israel,Tel Aviv,Discussed means of withdrawing foreign forces from Lebanon.,"July 6–7, 1983",1983,1985
Jordan,Amman,Discussed means of withdrawing foreign forces from Lebanon.,"July 7, 1983",1983,1985
Egypt,Cairo,Discussed means of withdrawing foreign forces from Lebanon.,"July 7, 1983",1983,1985
Mexico,La Paz (Baja California),Accompanied President Reagan to a meeting with President de la Madrid.,"August 14, 1983",1983,1985
Spain,Madrid,Attended the final session of the CSCE Follow-up Meeting. Met with Soviet Foreign Minister Gromyko.,"September 7–9, 1983",1983,1985
Canada,Halifax (Nova Scotia),Signed the Great Lakes Phosphorus Load Reduction Agreement.,"October 17–20, 1983",1983,1985
France,Paris,"Discussed the Lebanon situation with the Foreign Ministers of France, Italy, and the United Kingdom.","October 26–27, 1983",1983,1985
Japan,Tokyo,Accompanied President Reagan on a State visit.,"November 9–12, 1983",1983,1985
"Korea, Republic of",Seoul,Accompanied President Reagan on a State visit.,"November 12–14, 1983",1983,1985
"Germany, Federal Republic of",Bonn,Met with Chancellor Kohl and Foreign Minister enscher.,"December 6–7, 1983",1983,1985
Belgium,Brussels,Attended NATO Ministerial Meeting.,"December 7–9, 1983",1983,1985
Tunisia,Tunis,Met with President Bourguiba and senior Tunisian oficials.,"December 9–10, 1983",1983,1985
Morocco,Rabat,Met with King Hassan II.,"December 10–12, 1983",1983,1985
Portugal,Lisbon,Signed a new agreement relating to economic and military assistance.,"December 12–13, 1983",1983,1985
United Kingdom,London,Met with Prime Minister Thatcher and Foreign Secretary Howe.,"January 15–16, 1984",1984,1985
Sweden,Stockholm,Attended the opening session of the Conference on Confidence- and Security-Building Measures and Disarmament in Europe.,"January 16–19, 1984",1984,1985
Norway,Oslo,Met with King Olav V and Foreign Minister Stray.,"January 19, 1984",1984,1985
El Salvador,San Salvador,Met with President Magana and senior Salvadoran officials.,"January 31, 1984",1984,1985
Venezuela,Caracas,Attended the inauguration of President Lusinchi and met with Central American Foreign Ministers.,"February 1–3, 1984",1984,1985
Brazil,Brasilia,Signed a bilateral science and technology agreement.,"February 3–7, 1984",1984,1985
Grenada,St. George's,Met with the Governor General and members of the interim government; attended 10th anniversary of independence celebrations.,"February 7, 1984",1984,1985
Barbados,Bridgetown,Met with representatives of the Organization of Eastern Caribbean States.,"February 7–8, 1984",1984,1985
Bahamas,Nassau,Vacation.,"February 16–20, 1984",1984,1985
China,"Beijing, Xian, Shanghai",Accompanied President Reagan on a State visit.,"April 26–May 1, 1984",1984,1985
"Korea, Republic of",Seoul,Met with President Chun and senior Korean officials.,"May 1–2, 1984",1984,1985
Japan,Tokyo,Stopped while returning to U.S.,"May 2, 1984",1984,1985
El Salvador,San Salvador,Attended the inauguration of President Duarte.,"June 1, 1984",1984,1985
Nicaragua,Managua,Met with Comandante Ortega.,"June 1, 1984",1984,1985
Ireland,Dublin,Accompanied President Reagan.,"June 2–4, 1984",1984,1985
United Kingdom,London,Accompanied President Reagan to the Economic Summit Meeting.,"June 4–9, 1984",1984,1985
United Kingdom,Hong Kong,Met with British colonial officials.,"July 7–8, 1984",1984,1985
Malaysia,Kuala Lumpur,Met with Prime Minister Mahathir and senior Malaysian officials.,"July 9–10, 1984",1984,1985
Singapore,Singapore,Met with Prime Minister Lee and senior officials.,"July 10–11, 1984",1984,1985
Indonesia,Jakarta,Attended ASEAN discussions.,"July 11–14, 1984",1984,1985
Australia,Canberra,Met with Prime Minister Hawke and Foreign Minister Hayden.,"July 14–15, 1984",1984,1985
New Zealand,Wellington,Attended ANZUS Council Meeting.,"July 15–17, 1984",1984,1985
